strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
Big Buddha Cheese Autoflowering,hybrid,0.120,0.110, Sweet, Creamy, Spicy,, Body-buzz, Happy, Long-lasting, Relaxed, Photoperiod, 8-9 weeks
Big Bull,sativa,0.120,0.001, Herbal, Citrus, Sour, Diesel, Cerebral, Relaxed, Uplifting,, Autoflowering, 10 weeks
Big Critical,hybrid,0.200,0.001, Fresh, Sweet, Citrus,, Sociable, Giggly, Uplifting, Relaxed, Photoperiod, 8-10 weeks
Big Devil - F1 Fast Version,sativa,0.120,0.001, Fresh, Diesel,,, Relaxed, Motivated, Creative, Clear-headed, Autoflowering, 8-9 weeks
Big Devil 2,indica,0.080,0.080, Sweet, Fruity,,, Body-buzz, Relaxed, Smooth,, Photoperiod, 8-9 weeks
Big Devil Autoflowering,indica,0.180,0.002, Sweet, Spicy, Herbal, Fruity, Uplifting, Cerebral, Euphoric, Strong, Photoperiod, 7-9 weeks
Big Devil XL Auto,indica,0.150,0.110, Sweet, Fruity, Citrus,, Happy, Sleepy, Euphoric, Munchies, Photoperiod, 8-9 weeks
Big Foot,sativa,0.220,0.001, Sweet, Fruity, Citrus,, Uplifting, Motivated, Creative,, Photoperiod, 9-10 weeks
Big Jack,hybrid,0.270,0.030, Citrus, Earthy, Sweet,, Euphoric, Cerebral, Strong, Couch-lock, Photoperiod, 8-9 weeks
Big Kush,hybrid,0.200,0.001, Flowery, Earthy, Woody,, Happy, Relaxed, Sociable,, Photoperiod, 9 weeks
Big Tooth,sativa,0.220,0.001, Earthy, Skunk, Pungent,, Relaxed, Uplifting, Sociable, Cerebral, Photoperiod, 8-9 weeks
Biker Kush,hybrid,0.190,0.030, Grape, Sour, Fruity, Sweet, Relaxed, Motivated, Happy, Cerebral, Autoflowering, 8-9 weeks
Bizarre,indica,0.220,0.220, Sweet, Fruity, Skunk,, Relaxed, Balanced, Strong, Long-lasting,,
Black Bomb,sativa,0.120,0.001, Thai, Pine, Pungent,, Cerebral, Creative, Uplifting, Focused, Photoperiod, 9-10 weeks
Black Cheese,indica,0.210,0.001, Sweet, Anise, Spicy,, Balanced, Cerebral, Long-lasting, Body-buzz, Photoperiod, 9-10 weeks
Black Cream Autoflowering,indica,0.150,0.001, Sweet, Fresh, Mint,, Creative, Tingly, Focused,, Autoflowering,
Black Diesel,sativa,0.120,0.001, Fresh, Earthy, Fruity,, Euphoric, Cerebral, Uplifting,, Photoperiod, 10-12 weeks
Black Domina,sativa,0.190,0.006, Sweet, Fruity, Fresh,, Euphoric, Psychedelic, Cerebral,, Photoperiod, 9 weeks
Black Gum,sativa,0.180,0.001, Sweet, Fruity, Skunk,, Euphoric, Uplifting, Relaxed, Happy, Photoperiod, 9 weeks
Black Haze,hybrid,0.240,0.001, Kushy, Citrus, Mint,, Berry, Relaxed, Body-buzz, Strong, Photoperiod, 8-9 weeks
Black Jack,indica,0.120,0.001, Sweet, Pungent, Citrus, Skunk, Relaxed, Body-buzz, Happy, Balanced, Photoperiod, 6-7 weeks
Black Jack Autoflowering,indica,0.220,0.030, Candy, Grape, Berry, Sweet, Body-buzz, Relaxed, Happy, Long-lasting, Photoperiod, 7-9 weeks
Black Jack CBD,sativa,0.220,0.030, Sweet, Fruity, Fresh,, Long-lasting, Energetic, Uplifting, Euphoric, Photoperiod, 9-10 weeks
Black Poison,hybrid,0.080,0.080, Earthy, Fresh, Pine, Kushy, Clear-headed, Relaxed, Smooth, Body-buzz, Photoperiod, 9 weeks
Black Poison Skunk,indica,0.010,0.100, Citrus, Berry, Calming,, Relaxed, Body-buzz,,, Photoperiod, 9 weeks
Black Russian,indica,0.120,0.001, Earthy, Sweet, Citrus,, Sociable, Narcotic, Giggly, Relaxed, Photoperiod, 8-10 weeks
Black Widow,hybrid,0.190,0.001, Sweet, Strawberry,,, Cerebral, Euphoric, Trippy, Uplifting, Photoperiod, 10-12 weeks
Blackberry,sativa,0.230,0.001, Flowery, Woody, Coffee, Pine, Trippy, Uplifting, Cerebral, Euphoric, Photoperiod, 10 weeks
Blackdance,indica,0.190,0.010, Musky, Fruity, Sweet, Skunk, Relaxed, Sociable, Happy,, Photoperiod, 8-9 weeks
Blackjack,indica,0.190,0.110, Fruity, Sweet,,, Relaxed, Creative, Tingly, Euphoric, Photoperiod, 7 weeks
Blackwater,hybrid,0.250,0.001, Citrus, Fruity, Pepper, Banana, Motivated, Energetic, Euphoric, Uplifting, Photoperiod, 9 weeks
Bloody Skunk Autoflowering,hybrid,0.220,0.001, Sweet, Grape, Sour, Pineapple, Balanced, Creative, Body-buzz, Cerebral, Photoperiod, 8-9 weeks
Blow Mind Autoflowering,sativa,0.210,0.001, Pepper, Flowery, Fruity,, Uplifting, Trippy, Euphoric, Body-buzz, Photoperiod, 9-10 weeks
Blue Amnesia XXL Autoflowering,sativa,0.220,0.001, Earthy, Woody, Spicy, Fresh, Talkative, Energetic, Euphoric, Cerebral, Photoperiod, 10 weeks
Blue Auto Mazar,indica,0.140,0.110, Fruity, Spicy,,, Sociable, Relaxed, Motivated, Happy, Autoflowering, 9 weeks
Blue Brilliant,indica,0.120,0.001, Herbal, Citrus, Skunk, Sweet, Relaxed, Happy, Calming, Sociable, Autoflowering, 9 weeks
Blue Cheese,indica,0.160,0.008, Sweet, Lemon, Fruity, Candy, Body-buzz, Relaxed, Cerebral, Balanced, Photoperiod, 7 weeks
Blue Cheese Autoflowering,indica,0.120,0.220, Berry, Spicy, Pine,, Relaxed, Strong, Calming,, Photoperiod, 7-9 weeks
Blue Critical Autoflowering,hybrid,0.210,0.006, Cheese, Fresh, Lemon,, Uplifting, Sociable, Strong, Energetic, Photoperiod, 9-11 weeks
Blue Dream,indica,0.220,0.001, Herbal, Spicy, Hashish, Sweet, Body-buzz, Sociable, Happy, Relaxed, Photoperiod, 9-11 weeks
Blue Dream Autoflowering,sativa,0.220,0.001, Earthy, Pine, Flowery,, Creative, Motivated, Energetic, Euphoric, Photoperiod, 9-11 weeks
Blue Dream CBD,indica,0.120,0.001, Citrus, Skunk, Musky, Pungent, Calming, Relaxed, Body-buzz, Couch-lock, Autoflowering, 11-13 weeks
Blue Dream'matic,sativa,0.150,0.020, Spicy, Herbal, Citrus,, Euphoric, Uplifting, Energetic, Happy, Photoperiod, 10-11 weeks
Blue Elite Indica,indica,0.220,0.001, Sweet, Fruity, Flowery,, Balanced, Relaxed, Body-buzz, Cerebral, Photoperiod, 8-9 weeks
Blue Funk,indica,0.200,0.001, Fruity, Strawberry,,, Calming, Relaxed, Sleepy,, Photoperiod, 8-9 weeks
Blue Gelato 41,hybrid,0.120,0.001, Musky, Fresh, Sweet, Citrus, Couch-lock, Tingly, Trippy, Happy, Photoperiod, 7-8 weeks
Blue Grape Dream,indica,0.150,0.001, Pungent, Earthy, Spicy,, Couch-lock, Lazy, Relaxed,, Photoperiod, 7-8 weeks
Blue Hash,sativa,0.220,0.110, Citrus, Lime, Tropical,, Relaxed, Euphoric, Happy, Cerebral, Photoperiod, 8-9 weeks
Blue Haze,sativa,0.210,0.110,, Earthy, Sweet,, Euphoric, Talkative, Happy, Woody, Photoperiod, 9-11 weeks
Blue Kush,hybrid,0.220,0.030, Sweet, Earthy,,, Happy, Relaxed, Strong, Cerebral, Photoperiod, 8-9 weeks
Blue Kush Berry,indica,0.120,0.001, Sweet, Fruity, Citrus,, Energetic, Uplifting, Motivated,, Autoflowering, 8 weeks
Blue Lemon Thai,sativa,0.180,0.009, Herbal, Mint, Spicy,, Happy, Calming, Relaxed,, Autoflowering, 12-15 weeks
Blue Lemon Thai x Aroma,hybrid,0.180,0.001, Sweet, Fruity, Tropical,, Sociable, Relaxed,,, Photoperiod, 8-9 weeks
Blue Mammoth Autoflowering,hybrid,0.120,0.001, Herbal, Woody, Flowery,, Couch-lock, Munchies, Relaxed, Cerebral, Photoperiod, 8-9 weeks
Blue Mazar,indica,0.220,0.001, Sour, Earthy, Diesel, Pungent, Tingly, Couch-lock, Happy, Strong, Photoperiod, 8-10 weeks
Blue Medi Kush,indica,0.220,0.001, Sweet, Pungent, Citrus, Fruity, Narcotic, Relaxed, Strong, Calming, Photoperiod, 8 weeks
Blue Mystic,sativa,0.220,0.001, Earthy, Woody, Sweet, Spicy, Cerebral, Energetic, Euphoric, Strong, Photoperiod, 10-12 weeks
Blue Power,indica,0.120,0.001, Earthy, Sour, Skunk, Smooth, Clear-headed, Talkative, Relaxed, Body-buzz, Photoperiod, 7-8 weeks
Blue Pyramid,hybrid,0.120,0.001, Skunk, Sociable, Relaxed,,,,,, Autoflowering, 8-9 weeks
Blue Rhino,indica,0.200,0.001, Fruity, Musky, Spicy, Sweet, Happy, Long-lasting, Relaxed, Body-buzz, Photoperiod, 9 weeks
Blue Spider,sativa,0.220,0.001, Spicy, Citrus, Skunk, Pine, Strong, Uplifting, Cerebral,, Photoperiod, 9 weeks
Blue Widow,sativa,0.220,0.001, Sweet, Fruity, Pungent,, Cerebral, Energetic, Euphoric, Creative, Photoperiod, 10 weeks
Blue Zkittlez,sativa,0.200,0.001, Sweet, Citrus, Sour,, Euphoric, Uplifting, Alert, Happy, Photoperiod, 9-10 weeks
Blueberry,hybrid,0.120,0.001, Earthy, Sweet, Fresh,, Creative, Cerebral, Energetic, Uplifting, Photoperiod, 8-9 weeks
Blueberry Autoflowering,sativa,0.120,0.001, Skunk, Citrus, Fruity, Sweet, Energetic, Happy, Uplifting, Euphoric, Autoflowering, 10-11 weeks
Blueberry Bud,hybrid,0.120,0.001, Pine, Citrus, Spicy,, Strong, Relaxed, Happy, Euphoric, Photoperiod, 10 weeks
Blueberry Cheese,hybrid,0.180,0.001, Pine, Pungent, Earthy,, Trippy, Relaxed, Sociable, Cerebral,,
Blueberry Cheese Autoflowering,indica,0.120,0.110, Sweet, Earthy,,, Cerebral, Creative, Relaxed,, Photoperiod, 7 weeks
Blueberry Cheesecake,indica,0.090,0.090, Berry, Fruity, Sour, Woody, Uplifting, Body-buzz, Happy, Cerebral, Autoflowering, 8-9 weeks
Blueberry Cookies,hybrid,0.180,0.002, Cheese, Earthy, Pungent,, Relaxed, Euphoric, Motivated,, Photoperiod, 8 weeks
Blueberry Haze,hybrid,0.190,0.001, Fruity, Sweet, Strong,, Cerebral, Euphoric, Uplifting,, Photoperiod, 8-10 weeks
Blueberry Headband,sativa,0.120,0.001, Berry, Fruity, Earthy,, Relaxed, Motivated, Creative,, Photoperiod, 8-9 weeks
Blueberry Muffin,indica,0.120,0.001, Sweet, Skunk, Pungent,, Relaxed, Happy, Giggly,, Photoperiod, 6-7 weeks
Blueberry OG,hybrid,0.120,0.001, Mango, Sweet, Tropical,, Cerebral, Sociable, Euphoric, Happy, Photoperiod, 8-11 weeks
Blueberry Punch,hybrid,0.120,0.001, Diesel, Chemical, Lemon,, Relaxed, Sociable, Calming, Balanced, Photoperiod, 9-10 weeks
Blueberry Skunk,hybrid,0.200,0.001, Grape, Sweet, Fruity,, Energetic, Cerebral, Euphoric,, Photoperiod, 8-9 weeks
Bona Dea CBD,indica,0.120,0.001, Sweet, Spicy, Herbal,, Long-lasting, Relaxed, Body-buzz, Hashish, Photoperiod, 6-7 weeks
Brainkiller Haze,indica,0.200,0.001, Sweet, Fresh, Kushy,, Relaxed, Narcotic, Long-lasting, Euphoric, Photoperiod, 8-10 weeks
Brian Berry Cough,hybrid,0.190,0.001, Sweet, Skunk, Pungent,, Relaxed, Happy, Giggly,, Photoperiod, 8 weeks
Brooklyn Mango,sativa,0.190,0.001, Sweet, Diesel, Tropical,, Sociable, Relaxed, Talkative, Cerebral, Photoperiod, 7-9 weeks
Brotherhood OG,indica,0.120,0.001, Citrus, Sweet, Pungent, Skunk, Cerebral, Happy, Uplifting,, Photoperiod, 8 weeks
Bruce Banner 3,indica,0.120,0.001, Skunk, Pungent, Lemon, Earthy, Relaxed, Happy, Calming, Body-buzz, Autoflowering, 8-9 weeks
Bruce Banner BX 2.0,indica,0.120,0.030, Earthy, Fruity, Skunk,, Long-lasting, Relaxed, Body-buzz, Calming, Photoperiod, 6-7 weeks
Bubba Cheese Autoflowering,indica,0.120,0.001, Spicy, Citrus, Woody,, Calming, Relaxed,,, Autoflowering, 9 weeks
Bubba Island Kush,hybrid,0.200,0.001, Sweet, Lemon, Skunk, Citrus, Relaxed, Cerebral, Strong, Happy, Photoperiod, 9-10 weeks
Bubba Kush,hybrid,0.050,0.080, Fruity, Sweet, Focused,, Energetic, Calming, Creative, Relaxed, Photoperiod, 8-9 weeks
Bubba Kush 2.0,hybrid,0.120,0.001, Musky, Grape, Cheese,, Body-buzz, Energetic, Cerebral, Pungent, Photoperiod, 8-9 weeks
Bubba Kush Autoflowering,hybrid,0.240,0.001, Citrus, Fruity, Sour, Pine, Strong, Relaxed, Motivated, Creative, Photoperiod, 9-10 weeks
Bubba Kush CBD,sativa,0.180,0.001, Herbal, Earthy, Sweet,, Sociable, Happy, Relaxed,, Autoflowering, 10-11 weeks
Bubba Love,indica,0.120,0.001, Tropical, Earthy, Sweet, Citrus, Relaxed, Body-buzz, Euphoric, Long-lasting, Photoperiod, 7-8 weeks
Bubba OG,indica,0.120,0.110, Spicy, Earthy, Hashish,, Couch-lock, Calming, Sedative, Relaxed, Photoperiod, 7-8 weeks
Bubba's Gift,indica,0.220,0.001, Sweet, Lavender,,, Strong, Relaxed,,, Photoperiod, 7-9 weeks
Bubble Bomb,indica,0.120,0.001, Sweet, Spicy, Earthy,, Sociable, Creative, Relaxed,, Photoperiod, 10 weeks
Bubble Cheese,indica,0.200,0.001, Sweet, Berry, Fruity, Cheese, Relaxed, Lazy, Happy, Strong, Photoperiod, 7-8 weeks
Bubble Gum,indica,0.120,0.001, Fresh, Candy, Sweet, Fruity, Body-buzz, Happy, Smooth, Relaxed, Autoflowering, 8 weeks
Bubble Kush,indica,0.200,0.001, Earthy, Fresh, Grape,, Clear-headed, Relaxed, Meditative, Body-buzz, Photoperiod, 7-8 weeks
Bubble Kush Autoflowering,sativa,0.170,0.001, Fruity, Tropical, Grapefruit, Smooth, Uplifting, Energetic, Cerebral,, Photoperiod, 9-10 weeks
Bubble Yum,sativa,0.220,0.001, Pine, Citrus, Spicy,, Happy, Cerebral, Relaxed, Sociable, Photoperiod, 8-9 weeks
BubbleGummer,hybrid,0.180,0.030, Blueberry, Citrus, Grape,, Relaxed, Energetic, Euphoric, Body-buzz, Photoperiod, 8-9 weeks
Bubblegum Kush,indica,0.070,0.001, Pine, Mango, Earthy, Peach, Uplifting, Balanced, Creative, Body-buzz, Autoflowering, 11-12 weeks
Bubblegum XL,sativa,0.220,0.001, Flowery, Spicy, Pine,, Strong, Trippy,,, Photoperiod, 8-11 weeks
Bubblelicious,hybrid,0.060,0.070, Pungent, Citrus, Skunk,, Relaxed, Sedative, Calming,, Photoperiod, 8 weeks
Bubblelicious Autoflowering,indica,0.180,0.001, Sweet, Earthy, Berry,, Body-buzz, Calming, Relaxed,, Photoperiod, 6-8 weeks
Bubblicious,indica,0.120,0.001, Berry, Sweet, Pine,, Relaxed, Happy, Euphoric, Cerebral, Autoflowering, 8-9 weeks
Buddha Haze,sativa,0.220,0.001, Fruity, Sweet,,, Alert, Uplifting, Energetic, Motivated, Photoperiod, 11-13 weeks
Buddha Kush OG,hybrid,0.170,0.010, Sour, Pungent,,, Relaxed, Sleepy, Calming,, Photoperiod, 9 weeks
Buddha Purple Kush,indica,0.120,0.001, Earthy, Spicy, Pungent,, Sedative, Relaxed, Body-buzz, Calming, Photoperiod, 8 weeks
Buddha Tahoe,sativa,0.220,0.030, Sweet, Sour,,, Cerebral, Focused, Energetic,, Photoperiod, 9-10 weeks
Buddha’s Sister,indica,0.220,0.001, Earthy, Spicy, Pine, Kushy, Body-buzz, Couch-lock, Happy, Relaxed, Photoperiod, 8-9 weeks
Bullshark,hybrid,0.120,0.001, Sweet, Skunk, Calming,, Sociable, Talkative,,, Photoperiod, 9-10 weeks
Burmese Kush,indica,0.210,0.030, Sweet, Earthy, Fresh,, Balanced, Focused, Body-buzz, Cerebral, Autoflowering, 8-9 weeks
Buzz Bomb,indica,0.190,0.010, Fruity, Sweet, Citrus, Tropical, Calming, Lazy, Couch-lock, Relaxed, Autoflowering, 9 weeks
C4 Autoflowering,hybrid,0.120,0.001, Grape, Kushy, Creamy, Sweet, Relaxed, Focused, Happy, Creative, Photoperiod, 9-10 weeks
C99,indica,0.180,0.010, Sweet, Caramel, Earthy, Creamy, Dreamy, Relaxed, Body-buzz, Happy, Photoperiod, 7 weeks
CBD 3D,indica,0.120,0.001, Hindu Kush, Pine, Sweet, Pepper, Relaxed, Euphoric, Sleepy, Happy, Photoperiod, 9-10 weeks
CBD Auto Charlotte’s Angel,sativa,0.220,0.001, Sour, Spicy, Diesel, Sweet, Calming, Uplifting, Cerebral, Relaxed, Photoperiod, 9-10 weeks
CBD Auto Compassion Lime,indica,0.220,0.001, Sweet, Fruity, Banana, Tropical, Relaxed, Uplifting, Happy, Body-buzz, Photoperiod, 8-9 weeks
CBD Auto White Widow,indica,0.120,0.001, Sweet, Kushy, Fruity, Happy, Body-buzz, Couch-lock, Relaxed,, Photoperiod, 8-9 weeks
CBD Blue Shark,indica,0.210,0.001, Earthy, Sweet, Fruity,, Body-buzz, Relaxed, Cerebral, Balanced, Photoperiod, 7 weeks
CBD Bomb,indica,0.150,0.001, Sweet, Earthy, Berry, Pungent, Relaxed, Munchies, Couch-lock, Calming, Autoflowering, 8-9 weeks
CBD Caramel,hybrid,0.120,0.001, Sweet, Candy, Lemon,, Balanced, Relaxed, Uplifting, Euphoric, Photoperiod, 9-10 weeks
CBD Charlotte’s Angel,indica,0.120,0.001, Cheese, Skunk, Diesel,, Munchies, Relaxed, Happy, Calming, Photoperiod, 8-10 weeks
CBD ComPassion,indica,0.220,0.001, Sweet, Tropical, Fresh,, Relaxed, Dreamy, Body-buzz, Long-lasting, Photoperiod, 8-9 weeks
CBD Crack Autoflowering,indica,0.200,0.001, Sweet, Fruity, Berry, Lemon, Dreamy, Relaxed, Long-lasting, Meditative, Photoperiod, 8-9 weeks
CBD Critical Cure,indica,0.070,0.220, Earthy, Spicy, Herbal,, Relaxed, Body-buzz, Mellow,, Photoperiod, 7 weeks
CBD Critical Mass,sativa,0.240,0.005, Spicy, Flowery, Lemon,, Strong, Trippy, Uplifting, Euphoric, Photoperiod, 10-14 weeks
CBD Divine,hybrid,0.090,0.090, Spicy, Fresh, Woody,, Energetic, Calming, Relaxed,, Photoperiod, 8-9 weeks
CBD Fix Autoflowering,sativa,0.180,0.008, Flowery, Herbal, Sweet,, Energetic, Motivated, Creative, Uplifting, Photoperiod, 10-11 weeks
CBD Kush,hybrid,0.100,0.100, Grape, Coffee, Chocolate,, Balanced, Relaxed, Body-buzz, Calming, Photoperiod, 8-9 weeks
CBD Lemon Potion Autoflowering,indica,0.120,0.001, Sweet, Chemical, Sour,, Relaxed, Narcotic, Happy,, Photoperiod, 8 weeks
CBD Mango Haze,indica,0.120,0.001, Herbal, Hashish, Spicy,, Calming, Strong, Relaxed, Happy, Photoperiod, 7-8 weeks
CBD MedGom Autoflowering,indica,0.160,0.001, Spicy, Berry, Sweet,, Relaxed, Happy, Calming, Body-buzz, Autoflowering, 7-9 weeks
CBD MediHaze,indica,0.220,0.030, Lemon, Pine, Cheese,, Happy, Clear-headed, Relaxed, Euphoric, Photoperiod, 8-9 weeks
CBD Nordle,hybrid,0.190,0.010, Sweet, Chocolate, Spicy,, Relaxed, Balanced, Body-buzz,, Photoperiod, 8-9 weeks
CBD PH,indica,0.220,0.001, Pungent, Herbal, Spicy,, Couch-lock, Strong, Relaxed,, Photoperiod, 8-10 weeks
CBD Shark Shock,sativa,0.220,0.001, Flowery, Fresh, Woody, Eucalyptus, Sedative, Energetic, Uplifting, Creative, Photoperiod, 9-10 weeks
CBD Skunk Haze,sativa,0.120,0.001, Sweet, Fruity, Spicy,, Uplifting, Energetic, Motivated, Euphoric, Photoperiod, 8-9 weeks
CBD Spliff Berry,hybrid,0.180,0.001, Fruity, Sweet,,, Relaxed, Sleepy, Calming,, Autoflowering, 9 weeks
CBD Sweet And Sour Widow,sativa,0.120,0.001, Citrus, Skunk, Tropical, Pungent, Relaxed, Cerebral, Happy,, Photoperiod, 8-10 weeks
CBD Therapy,hybrid,0.010,0.080, Sweet, Cypress, Fruity,, Relaxed, Clear-headed, Smooth,, Photoperiod, 9 weeks
CBD Yummy,hybrid,0.200,0.001, Pungent, Skunk, Sweet,, Sociable, Talkative, Relaxed, Uplifting, Photoperiod, 8-9 weeks
CBD-Chronic,indica,0.120,0.001, Earthy, Lemon, Narcotic,, Calming, Relaxed, Happy,, Photoperiod, 9 weeks
CBD-Enriched Warlock,sativa,0.220,0.001, Pungent, Sour,,, Creative, Energetic, Uplifting,, Photoperiod, 10-11 weeks
Caboose,indica,0.210,0.005, Spicy, Sweet, Chocolate,, Body-buzz, Strong, Relaxed,, Autoflowering, 9 weeks
Cal-Train Wreck,indica,0.120,0.001, Fruity, Sweet, Fresh,, Relaxed, Body-buzz, Sociable, Long-lasting, Photoperiod, 7-8 weeks
Cali Orange Bud,indica,0.220,0.001, Candy, Honey, Hashish,, Dreamy, Relaxed, Body-buzz, Fuel, Photoperiod, 8-10 weeks
California Gold,indica,0.180,0.220, Spicy, Sweet, Cheese,, Narcotic, Relaxed,,, Photoperiod, 8-9 weeks
California Hash Plant,indica,0.180,0.110, Sweet, Earthy, Berry,, Happy, Couch-lock, Calming, Relaxed, Photoperiod, 8-9 weeks
California Indica,sativa,0.080,0.080, Spicy, Sweet, Anise,, Sociable, Motivated, Uplifting, Relaxed, Photoperiod, 8-10 weeks
California Orange Cheese,sativa,0.200,0.030, Strawberry, Creamy, Sour, Fresh, Uplifting, Euphoric, Cerebral, Energetic, Photoperiod, 10-12 weeks
Californian Orange,indica,0.120,0.001, Pine, Citrus, Berry,, Long-lasting, Calming, Relaxed,, Autoflowering, 10-12 weeks
Californian Snow,indica,0.100,0.100, Musky, Spicy, Earthy,, Relaxed, Smooth, Body-buzz,, Autoflowering, 9 weeks
Canadian Kush,hybrid,0.120,0.001, Skunk, Sweet,,, Trippy, Motivated, Creative, Cerebral, Autoflowering, 9-10 weeks
Candida (CD-1),sativa,0.220,0.001, Herbal, Sweet, Pungent,, Uplifting, Cerebral, Strong,, Photoperiod, 12-13 weeks
Candy Caramelo Autoflowering,hybrid,0.150,0.001, Sweet, Skunk, Earthy,, Sociable, Relaxed, Talkative, Happy, Photoperiod, 7-8 weeks
Candy Kush,hybrid,0.210,0.001, Herbal, Spicy, Strong,, Narcotic, Relaxed, Energetic, Uplifting, Photoperiod, 9 weeks
Candy Kush Express - Fast Flowering,indica,0.120,0.001, Earthy, Pungent, Berry, Spicy, Body-buzz, Relaxed, Calming, Happy, Photoperiod, 7-8 weeks
Candyman Haze,indica,0.220,0.001, Citrus, Skunk, Spicy,, Relaxed, Strong, Couch-lock,, Photoperiod, 8-9 weeks
Cannalope Haze,hybrid,0.120,0.030, Earthy,,,, Relaxed, Sleepy, Calming,, Autoflowering, 8-9 weeks
Cannalope Kush,hybrid,0.060,0.050, Earthy, Fruity, Fresh,, Relaxed, Smooth, Energetic, Calming, Photoperiod, 8-9 weeks
Cannatonic,hybrid,0.110,0.001, Skunk, Pungent,,, Happy, Relaxed, Sociable,, Photoperiod, 8-9 weeks
Cap Peeler,indica,0.120,0.001, Pine, Citrus, Skunk, Earthy, Euphoric, Uplifting, Happy, Creative, Photoperiod, 7 weeks
Caprichosa Thai,indica,0.190,0.001, Citrus, Fresh, Sweet, Herbal, Talkative, Happy, Relaxed,, Autoflowering, 8-9 weeks
Caramel Autoflowering,sativa,0.220,0.001, Citrus, Sweet, Spicy,, Happy, Cerebral, Uplifting,, Photoperiod, 9-11 weeks
Caramel Ice,hybrid,0.250,0.030, Sweet, Citrus, Earthy,, Body-buzz, Euphoric, Strong,, Photoperiod, 8-9 weeks
Caramella,indica,0.200,0.001, Tropical, Hashish, Earthy,, Strong, Couch-lock, Calming, Relaxed, Photoperiod, 8 weeks
Caramelo,sativa,0.200,0.030, Strawberry, Citrus, Sweet, Fruity, Energetic, Uplifting, Motivated, Tingly, Photoperiod, 8-9 weeks
Caribe,sativa,0.120,0.001, Fresh, Spicy, Chemical,, Calming, Happy, Relaxed,, Autoflowering, 11 weeks
Carnival,indica,0.180,0.001, Berry, Fruity, Tropical, Earthy, Solitary, Calming, Narcotic, Relaxed, Autoflowering, 10-11 weeks
Casey Jones,hybrid,0.150,0.005, Citrus, Pungent, Pine, Lemon, Clear-headed, Creative, Uplifting, Motivated, Photoperiod, 9-10 weeks
Cash Express,indica,0.140,0.001, Spicy, Sweet, Skunk,, Smooth, Body-buzz, Relaxed,, Autoflowering, 10 weeks
Cataract Kush,indica,0.120,0.001, Spicy, Fruity, Sweet, Skunk, Calming, Relaxed, Couch-lock, Body-buzz, Photoperiod, 7-8 weeks
Ceres Kush,hybrid,0.170,0.110, Skunk, Sweet, Woody,, Energetic, Strong, Uplifting, Cerebral, Autoflowering, 10 weeks
Ceres Skunk,sativa,0.220,0.001, Citrus, Woody, Spicy,, Cerebral, Happy, Sociable, Euphoric, Autoflowering, 10-11 weeks
Channel +,sativa,0.200,0.030, Sweet, Chocolate, Tropical, Earthy, Creative, Energetic, Cerebral, Euphoric, Photoperiod, 8-10 weeks
Chaos Kush,indica,0.120,0.001, Sweet, Spicy, Earthy, Happy, Strong, Relaxed, Calming,, Photoperiod, 8-9 weeks
Charlotte's Web,sativa,0.220,0.001, Thai, Spicy, Pine, Skunk, Sociable, Cerebral, Alert, Relaxed, Photoperiod, 8-9 weeks
Chaze SuperAuto,sativa,0.250,0.001, Sweet, Pungent, Sour, Citrus, Happy, Euphoric, Talkative, Relaxed, Photoperiod, 9-10 weeks
Cheddarhead,hybrid,0.120,0.001, Sweet, Jasmine, Musky, Anise, Energetic, Cerebral, Uplifting,, Photoperiod, 8-10 weeks
Cheese,hybrid,0.190,0.002, Sweet, Skunk, Pungent,, Relaxed, Meditative, Body-buzz,, Photoperiod, 9 weeks
Cheese Auto CBD,hybrid,0.120,0.001, Citrus, Lemon, Skunk,, Energetic, Cerebral, Uplifting,, Photoperiod, 9-11 weeks
Cheese Autoflowering,sativa,0.120,0.001, Citrus, Tropical, Spicy,, Calming, Sociable, Creative, Happy, Photoperiod, 8-10 weeks
Cheese CBD,indica,0.150,0.001, Pungent, Earthy, Spicy, Sweet, Relaxed, Body-buzz, Calming, Mellow, Autoflowering, 8-10 weeks
Cheese Dawg,indica,0.120,0.001, Earthy, Fruity, Grape, Hashish, Relaxed, Sociable, Happy,, Photoperiod, 8-9 weeks
Cheese N Chong,indica,0.170,0.001, Skunk, Musky, Spicy, Pungent, Body-buzz, Uplifting, Cerebral, Euphoric, Photoperiod, 8-9 weeks
Cheese Quake,indica,0.120,0.001, Cheese, Kushy, Chemical,, Uplifting, Meditative, Relaxed, Cerebral, Photoperiod, 9-11 weeks
Cheese XXL Autoflowering,indica,0.250,0.030, Sweet, Citrus, Tropical, Fruity, Relaxed, Euphoric, Strong, Munchies, Photoperiod, 7-8 weeks
CheeseWreck,indica,0.120,0.001, Herbal, Fresh, Pine,, Happy, Couch-lock, Giggly, Body-buzz, Photoperiod, 8-9 weeks
Cheesus,sativa,0.270,0.001, Pungent, Diesel, Tropical, Fruity, Energetic, Uplifting, Euphoric, Cerebral, Photoperiod, 9-10 weeks
